team,top_five_probability,champions_league_probability,europa_league_probability,conference_league_probability,any_europe
Arsenal,100.0%,100.0%,0.0%,0.0%,100.0%
Manchester City,100.0%,100.0%,0.0%,0.0%,100.0%
Manchester United,92.4%,92.7%,6.7%,0.5%,99.9%
Aston Villa,91.2%,95.0%,4.5%,0.3%,99.9%
Liverpool,81.1%,82.3%,14.8%,1.8%,98.8%
Chelsea,23.1%,28.8%,51.0%,8.7%,88.5%
Brighton,5.2%,7.6%,32.6%,18.3%,58.5%
Crystal Palace,0.0%,0.1%,43.5%,1.6%,45.1%
Everton,2.6%,3.6%,23.5%,16.8%,43.8%
Brentford,2.4%,3.1%,19.9%,17.2%,40.2%
Bournemouth,0.8%,1.6%,12.4%,12.0%,26.0%
Sunderland,0.9%,1.5%,9.4%,9.0%,19.8%
Fulham,0.2%,0.6%,6.4%,7.3%,14.2%
Nottingham Forest,0.0%,12.2%,0.0%,0.0%,12.2%
Newcastle United,0.1%,0.4%,4.9%,6.4%,11.6%
Leeds,0.0%,0.0%,9.3%,0.2%,9.5%
